Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.01265	1.33117			1265.0	9.19171e-06
0.0127	1.34393			1270.0	2.14881e-06
0.01275	1.30311			1275.0	1.30081e-06
0.0128	1.29801			1280.0	1.65015e-06
0.01285	1.38219			1285.0	6.41457e-06
0.0129	1.48932			1290.0	1.00327e-05
0.01295	1.52758			1295.0	1.75273e-06
0.013	1.49697			1300.0	9.47498e-07
0.01305	1.37964			1305.0	1.60128e-07
0.0131	1.30056			1310.0	1.35956e-07
0.01315	1.38729			1315.0	1.82301e-07
0.0132	1.55564			1320.0	5.58386e-07
0.01325	1.70869			1325.0	9.08628e-07
0.0133	1.65002			1330.0	1.05274e-06
0.01335	1.54799			1335.0	7.62195e-07
0.0134	1.46381			1340.0	7.37206e-07
0.01345	1.36433			1345.0	3.04324e-07
0.0135	1.39494			1350.0	1.29463e-08
0.01355	1.53013			1355.0	5.04049e-08
0.0136	1.62451			1360.0	1.63314e-07
0.01365	1.62961			1365.0	7.79693e-07
0.0137	1.55054			1370.0	5.98062e-07
0.01375	1.49952			1375.0	3.02382e-07
0.0138	1.31332			1380.0	4.037e-08
0.01385	1.33372			1385.0	6.92203e-08
0.0139	1.47402			1390.0	2.75865e-07
0.01395	1.48677			1395.0	4.61938e-07
0.014	1.49697			1400.0	8.35084e-07
0.01405	1.38984			1405.0	1.15092e-06
0.0141	1.31332			1410.0	9.97867e-07
0.01415	1.29291			1415.0	6.80643e-07
0.0142	1.40004			1420.0	2.48026e-07
0.01425	1.50718			1425.0	4.32156e-07
0.0143	1.48422			1430.0	1.95373e-07
0.01435	1.28016			1435.0	9.53259e-07
0.0144	1.19853			1440.0	1.08919e-06
0.01445	1.37198			1445.0	9.56673e-08
0.0145	1.53779			1450.0	2.80947e-08
0.01455	1.50973			1455.0	2.53542e-08
0.0146	1.24189			1460.0	1.66426e-07
0.01465	1.05313			1465.0	1.00816e-06
0.0147	1.16027			1470.0	7.08324e-07
0.01475	1.43575			1475.0	7.4354e-07
0.0148	1.61686			1480.0	3.93172e-07
0.01485	1.51738			1485.0	9.57765e-08
0.0149	1.32862			1490.0	9.6102e-07
0.01495	1.24699			1495.0	8.16276e-07
0.015	1.33627			1500.0	2.94914e-07
0.01505	1.36178			1505.0	4.06258e-07
0.0151	1.35923			1510.0	1.58779e-07
0.01515	1.34903			1515.0	1.80332e-07
0.0152	1.38984			1520.0	9.81538e-08
0.01525	1.49187			1525.0	2.26616e-07
0.0153	1.4332			1530.0	5.0439e-07
0.01535	1.30311			1535.0	2.28552e-07
0.0154	1.22659			1540.0	2.34999e-07
0.01545	1.30311			1545.0	5.58096e-08
0.0155	1.48677			1550.0	2.09724e-07
0.01555	1.51738			1555.0	7.48572e-07
0.0156	1.4179			1560.0	9.42371e-07
0.01565	1.30566			1565.0	2.98903e-07
0.0157	1.34648			1570.0	8.11687e-07
0.01575	1.45871			1575.0	7.31716e-07
0.0158	1.49952			1580.0	7.52283e-09
0.01585	1.54544			1585.0	1.7979e-07
0.0159	1.48677			1590.0	2.22186e-08
0.01595	1.30311			1595.0	6.43312e-07
0.016	1.35413			1600.0	4.01337e-07
0.01605	1.51993			1605.0	2.30013e-07
0.0161	1.61176			1610.0	2.40017e-07
0.01615	1.50973			1615.0	6.78671e-07
0.0162	1.34137			1620.0	8.15744e-07
0.01625	1.20363			1625.0	2.43887e-07
0.0163	1.32607			1630.0	1.72722e-07
0.01635	1.55564			1635.0	8.59419e-08
0.0164	1.63727			1640.0	5.68786e-07
0.01645	1.40004			1645.0	7.55854e-07
0.0165	1.26485			1650.0	2.43812e-07
0.01655	1.32607			1655.0	5.73854e-07
0.0166	1.40259			1660.0	2.23846e-06
0.01665	1.30566			1665.0	2.64552e-06
0.0167	1.20108			1670.0	3.49999e-07
0.01675	1.23934			1675.0	1.31072e-07
0.0168	1.30311			1680.0	5.629e-07
0.01685	1.32352			1685.0	5.58138e-07
0.0169	1.32097			1690.0	7.35357e-08
0.01695	1.1118			1695.0	1.36552e-06
0.017	1.03528			1700.0	5.18219e-06
0.01705	1.17047			1705.0	4.50348e-06
0.0171	1.31587			1710.0	8.40143e-07
0.01715	1.33882			1715.0	3.1375e-07
0.0172	1.21894			1720.0	1.22425e-06
0.01725	1.18067			1725.0	1.09313e-06
0.0173	1.21128			1730.0	2.59202e-07
0.01735	1.27505			1735.0	1.52413e-06
0.0174	1.38219			1740.0	3.67407e-06
0.01745	1.36688			1745.0	1.02087e-06
0.0175	1.20873			1750.0	7.60322e-07
0.01755	1.22914			1755.0	3.70908e-07
0.0176	1.33882			1760.0	8.69717e-07
0.01765	1.51483			1765.0	4.17699e-07
0.0177	1.53523			1770.0	5.88401e-07
0.01775	1.4128			1775.0	8.79467e-08
0.0178	1.20618			1780.0	5.1688e-07
0.01785	1.2776			1785.0	1.0377e-06
0.0179	1.50973			1790.0	1.43072e-06
0.01795	1.64747			1795.0	2.79121e-07
0.018	1.60921			1800.0	2.58875e-07
0.01805	1.423			1805.0	4.37791e-07
0.0181	1.35923			1810.0	8.05723e-07
0.01815	1.53523			1815.0	1.75596e-06
0.0182	1.49187			1820.0	8.76835e-07
0.01825	1.4383			1825.0	6.79912e-07
0.0183	1.44086			1830.0	1.1316e-06
0.01835	1.49697			1835.0	5.68068e-07
0.0184	1.60921			1840.0	7.33912e-08
0.01845	1.66022			1845.0	7.95415e-07
0.0185	1.50463			1850.0	1.54818e-06
0.01855	1.31842			1855.0	2.2463e-08
0.0186	1.24444			1860.0	1.47369e-07
0.01865	1.45871			1865.0	2.70743e-06
0.0187	1.54799			1870.0	4.63129e-06
0.01875	1.47146			1875.0	1.80456e-06
0.0188	1.45871			1880.0	1.32299e-06
0.01885	1.4128			1885.0	4.44014e-06
0.0189	1.42555			1890.0	8.61855e-06
0.01895	1.43575			1895.0	1.02074e-05
0.019	1.47657			1900.0	2.70944e-05
0.01905	1.41025			1905.0	4.85328e-05
0.0191	1.30821			1910.0	6.48185e-06
0.01915	1.26995			1915.0	1.7117e-05
0.0192	1.36943			1920.0	1.47513e-05
0.01925	1.47657			1925.0	1.48103e-06
0.0193	1.40514			1930.0	1.31902e-05
0.01935	1.18578			1935.0	1.21336e-05
0.0194	1.11435			1940.0	1.31219e-05
0.01945	1.19343			1945.0	1.24875e-05
0.0195	1.38729			1950.0	1.737e-06
0.01955	1.48677			1955.0	6.78923e-06
0.0196	1.37453			1960.0	3.69833e-06
0.01965	1.22149			1965.0	1.26308e-06
0.0197	1.25465			1970.0	8.44131e-08
0.01975	1.2572			1975.0	3.82381e-06
0.0198	1.25975			1980.0	5.19154e-06
0.01985	1.2725			1985.0	3.28811e-06
0.0199	1.30056			1990.0	1.84239e-06
0.01995	1.4077			1995.0	6.21989e-07
0.02	1.46891			2000.0	7.33835e-08
0.02005	1.38219			2005.0	1.71176e-07
0.0201	1.32352			2010.0	3.78222e-07
0.02015	1.22149			2015.0	3.71596e-07
0.0202	1.28271			2020.0	1.98212e-07
0.02025	1.423			2025.0	5.50351e-08
0.0203	1.50463			2030.0	4.02084e-07
0.02035	1.45361			2035.0	1.03952e-06
0.0204	1.41535			2040.0	9.84173e-07
0.02045	1.35923			2045.0	7.86449e-07
0.0205	1.39749			2050.0	3.67979e-06
0.02055	1.45361			2055.0	3.64942e-06
0.0206	1.5786			2060.0	1.63591e-06
0.02065	1.60921			2065.0	6.54179e-07
0.0207	1.47657			2070.0	1.03701e-07
0.02075	1.4077			2075.0	2.09311e-07
0.0208	1.37198			2080.0	4.26688e-07
0.02085	1.49952			2085.0	8.26931e-08
0.0209	1.54544			2090.0	8.59964e-08
0.02095	1.44341			2095.0	3.3674e-07
0.021	1.34903			2100.0	3.55968e-07
0.02105	1.31332			2105.0	4.07849e-06
0.0211	1.49187			2110.0	1.65863e-06
0.02115	1.64747			2115.0	3.72625e-07
0.0212	1.50973			2120.0	1.48577e-07
0.02125	1.35668			2125.0	5.38526e-08
0.0213	1.34648			2130.0	3.99758e-07
0.02135	1.4281			2135.0	1.5607e-06
0.0214	1.52248			2140.0	1.75759e-06
0.02145	1.46126			2145.0	1.2415e-06
0.0215	1.33372			2150.0	3.02332e-07
0.02155	1.25975			2155.0	1.40336e-07
0.0216	1.38729			2160.0	3.71711e-07
0.02165	1.49697			2165.0	1.8232e-06
0.0217	1.37198			2170.0	4.45532e-06
0.02175	1.18067			2175.0	3.37507e-06
0.0218	1.14241			2180.0	1.53273e-07
0.02185	1.28526			2185.0	3.21366e-06
0.0219	1.41025			2190.0	3.29847e-06
0.02195	1.34648			2195.0	3.29354e-07
0.022	1.20108			2200.0	1.14081e-06
0.02205	1.28271			2205.0	2.15664e-06
0.0221	1.38219			2210.0	2.13606e-07
0.02215	1.46891			2215.0	1.07976e-06
0.0222	1.4383			2220.0	1.64021e-06
0.02225	1.39749			2225.0	7.97676e-07
0.0223	1.24189			2230.0	2.83983e-06
0.02235	1.19088			2235.0	5.77408e-06
0.0224	1.39494			2240.0	4.79246e-06
0.02245	1.71889			2245.0	7.84532e-07
0.0225	1.66022			2250.0	3.24624e-08
0.02255	1.39494			2255.0	2.91708e-07
0.0226	1.20108			2260.0	6.27986e-07
0.02265	1.30566			2265.0	3.08526e-06
0.0227	1.52503			2270.0	1.99212e-06
0.02275	1.5786			2275.0	3.26384e-06
0.0228	1.54289			2280.0	3.31694e-06
0.02285	1.48677			2285.0	7.6681e-06
0.0229	1.47402			2290.0	1.06705e-05
0.02295	1.54544			2295.0	6.4182e-06
0.023	1.46636			2300.0	1.75104e-06
0.02305	1.32862			2305.0	8.89771e-07
0.0231	1.31842			2310.0	4.25844e-06
0.02315	1.45361			2315.0	8.77274e-06
0.0232	1.54544			2320.0	4.15343e-06
0.02325	1.38474			2325.0	1.19215e-06
0.0233	1.30821			2330.0	2.29514e-06
0.02335	1.2572			2335.0	1.80265e-06
0.0234	1.22404			2340.0	1.82635e-06
0.02345	1.27505			2345.0	1.9893e-08
0.0235	1.30056			2350.0	4.57852e-06
0.02355	1.32097			2355.0	7.65071e-06
0.0236	1.35158			2360.0	3.75192e-06
0.02365	1.34137			2365.0	1.75261e-06
0.0237	1.36433			2370.0	1.7981e-06
0.02375	1.32862			2375.0	5.41071e-07
0.0238	1.33882			2380.0	8.08889e-07
0.02385	1.40259			2385.0	2.98572e-07
0.0239	1.26485			2390.0	7.83945e-07
0.02395	1.20873			2395.0	3.81467e-06
0.024	1.40259			2400.0	5.44065e-06
0.02405	1.60411			2405.0	5.31064e-06
0.0241	1.50973			2410.0	4.48197e-06
0.02415	1.17302			2415.0	3.02268e-06
0.0242	1.19598			2420.0	1.17611e-06
0.02425	1.4179			2425.0	3.50301e-06
0.0243	1.55564			2430.0	4.25384e-06
0.02435	1.53779			2435.0	3.55709e-06
0.0244	1.46636			2440.0	1.37586e-06
0.02445	1.39749			2445.0	2.0914e-06
0.0245	1.423			2450.0	4.83107e-06
0.02455	1.4383			2455.0	2.53648e-06
0.0246	1.40514			2460.0	6.52268e-07
0.02465	1.36943			2465.0	8.07268e-06
0.0247	1.43065			2470.0	4.51621e-06
0.02475	1.46636			2475.0	5.35552e-06
0.0248	1.48422			2480.0	7.27164e-07
0.02485	1.40004			2485.0	1.15181e-06
0.0249	1.29801			2490.0	5.38476e-06
0.02495	1.2521			2495.0	2.85582e-05
0.025	1.21128			2500.0	4.36183e-05
0.02505	1.36433			2505.0	7.4082e-05
0.0251	1.46636			2510.0	6.8087e-05
0.02515	1.4383			2515.0	3.51825e-05
0.0252	1.37453			2520.0	3.10725e-05
0.02525	1.35413			2525.0	2.42802e-05
